Date avis;Date fin d'expérience;Êtes-vous venu :;Verbatim public;Verbatim privé
09/01/2024;05/01/2024;Avec des jeunes enfants;"Nous avons passé un super séjour ! L'hôtel ""les quais de Lutèce"" est magnifique. L'accueil était top. Et nous avons apprécié aussi bien le petit-déjeuner que le dîner sur place. Pour le parc, nous avons surtout profité des attractions pour les tout-petits et il y avait de quoi ravir les enfants. C'était une très belle première expérience. Nous reviendrons avec plaisir ! ";"Nous avons logé aux quais de Lutèce avec nos deux enfants (3 et 4 ans) et on nous propose des lits superposés où il faut normalement minimum 6 ans pour dormir au-dessus. Ce qui est un peu compliqué.  <br />Nous avons eu l'impression  qu'il manquait de personnel dans le parc: par exemple pour l'attraction SOS Numerobis,  il faudrait une deuxième personne pour dispatcher les gens dans les files.  Il faudrait peut-être aussi des personnes qui tournent pour faire des remarques aux visiteurs (zones fumeurs non respectées). Et peut-être des personnes pour ""placer"" les gens lors des spectacles à l'extérieur (pour exemple:  le show avec les pirates, on se demandait où on pouvait se mettre pour être sûr de voir et de ne pas déranger les comédiens)"
09/01/2024;05/01/2024;Avec des ados;Spectacles de très très bonne qualité;il serai bien de garder la caisse réservée pour les Pass saison, pour les pass. A chaque passage, obligés de faire la queue parce que des gens passent avec des billets qui souvent ne passent pas
09/01/2024;06/01/2024;Avec des ados;Peu d’attractions ouverte ;Les sanitaires étaient tous sales.
09/01/2024;03/01/2024;Avec des ados;Très bien pour une famille de 4 personnes avec deux pré ados qui aiment les sensations;
09/01/2024;06/01/2024;Entre amis;Chouette parc d'attractions mais le parking est assez cher et la nourriture n'est pas top. Nous avons eu aussi la mauvaise chance d'avoir beaucoup de fil d'attente.;Nous avons eu beaucoup de temps d'attente, la nourriture n'est pas top et le parking est fort cher
09/01/2024;06/01/2024;Avec des ados;4 entrées + 4 filotomatix illimité + 4 Buffet du cirque+ 4 navettes Roissy/le parc = je vous laisse faire le calcul. Le prix n est pas vraiment le problème quoi que non négligeable. 1 => hygiène des toilettes et des restaurants ( des souris au relais gaulois) . 2 => votre personnel nous parle comme de la merde ! C est inacceptable de s adresser de cette manière a des clients que soit le prix qu ils paient... arrêter de recruter des personnes qui n ont aucun sens de la gestion de la relation client. 3=> c est un détail mais goudurix et tonnerre de Zeus sont trop viellos ( nous faisons entre 5 et 10 parcs par an, je peux donc faire une comparaison légitime).;"Baisser très largement vos tarifs et ne changez rien ou bien commencer par revoir votre recrutement car ce qui m a dégouté c est le comportement de vos  employés. L offre du parc reste acceptable pour bon nombre de visiteurs mais pour nous c est un peu light ( ça c est perso). Bravo pour"" Attention Menhir"" qui a vraiment plut à toute la famille et qui reste très concurrentiel sur ce type d attractions. Les blagues disséminés ici et là sont top mais compréhensible par les français seulement.Encore une fois le personnel est vraiment choquant !"
09/01/2024;06/01/2024;Avec des jeunes enfants;Malgré l'ambiance festive du parc, reste le gros problème de l'attente. On a dû abandonner en plein milieu de la queue car avec des enfants, difficile de les faire patienter presque une heure pour accéder à chaque attraction.  <br />Je ne pourrai pas dire victime de son succès car cela veut dire que il n'y a pas assez d'attractions diversifiées, qui fait que les affluences sont importantes sur chaque attractions.  <br /> <br />;Une différence entre un public classique et abonné dans les accès aux attractions sont à améliorer <br />Un juste milieu entre les abonnées, les visiteurs et les premiums
09/01/2024;03/01/2024;Avec des ados;Toujours enchantés de nos séjour au parc Astérix;Peut être prévoir des attractions un peu plus soft pour les plus petits (à partir de 5 ans)
09/01/2024;06/01/2024;Entre amis;Un séjour au top dans l’hôtel la cité suspendue et dans le parc.! Incroyable ! <br />;Bonjour,  <br />Étant dans l’hôtel du parc, il serait bien de pouvoir visionner sur la tv de la chambre les différents films et dessins animés D’Astérix ( cela amènerait encore plus d’immersion ) 
09/01/2024;06/01/2024;Entre amis;Toujours pareil une très bonne ambiance sur le parc très très bonne journée décoration pour Noël très bien;Tonnerre doseuse vibre beaucoup trop ça serait bien de l'envoyer en réa ou modifier les trains pour mieux absorber les vibrations
09/01/2024;06/01/2024;Entre amis;;Plus d’1h30 d’attente pour un ménage c’est beaucoup trop (oui il y a les fast pass mais le prix du billet est déjà bien chère…) mais sinon top
09/01/2024;01/01/2024;Avec des ados;Nous avons passé une excellente fin d'année,  à refaire !;
09/01/2024;26/12/2023;Avec des jeunes enfants;Super Parc nous venons depuis 3 ans avec le pass annuel. Malheureusement les spectacles se ressemblent d'année en année. Pour ce qui est des attractions, je trouve qu'il y a de plus en plus d'attractions a sensations fortes et de moins en moins d'attractions familiales comme national 7 , Epidemais etc.... Pour ce qui est de Noël le jardin du père noël juste magnifique , la parade était jolie a voir . Les feux d'artifice en été et a Noël sont vraiment sympathique.  Petit clin d'oeil a Fritatopoulos ou le cheddar ognion est très agréable. Dans l'ensemble un bon Parc pour passer un moment agréable en famille.;Moins en moins d'attractions familiales Comme national 7, Epidemais etc ..  ce qui me rappel les attractions quand je venais au Parc étant petit c'est bien dommage, au profit de plus en plus d'attractions a sensations forte. En tant qu'adulte qui n'aime pas les sensations forte , je passe plus de temps a me promener et regarder. Ce qui est dommage. Malheureusement avec le temps et l'évolution du Parc qui va de plus en plus vers les attractions a sensations fortes, la question de prendre le pass annuel va commencer à ce poser. Belle amélioration pour les parades. Et bravo pour le jardin du père Noël qui était magnifique.
09/01/2024;06/01/2024;Entre amis;1h d’attente minumum par attraction pour 1 minute de plaisir beaucoup trop long.  <br />0 boisson a l’heure de manger que de l’eau.  <br />Mettre en place un nombre d’entre maximum afin d’eviter cette attentes interminable;1h d’attente minumum par attraction pour 1 minute de plaisir beaucoup trop long.  <br />0 boisson a l’heure de manger que de l’eau.  <br />Mettre en place un nombre d’entre maximum afin d’eviter cette attentes interminable  <br />
09/01/2024;05/01/2024;Avec des ados;Séjour parfait 👍 ambiance de Noël superbe et hôtel excellent ;
09/01/2024;06/01/2024;Avec des ados;;Plus de personnages à se promener dans le parc et indicateur de temps à l'entrée des attractions.
09/01/2024;06/01/2024;Avec des ados;"Journée au parc décevante: il faisait froid, et il faut savoir que quasiment tout est en extérieur; il n'y a pas le moindre café pour se poser un peu au chaud. Et l'affluence était telle que l'on attendait très longtemps partout: 1h30 pour une seule attraction, 45 minutes juste pour avoir un hot-dog ou pour la moindre boisson.... au final on n'a quasiment rien  pu faire dans une journée, on a renoncé à toutes les attractions sympa (pour les grands).  On n'a peut-être pas eu de chance, mais les infrastructures et le nombre d'employés ne sont clairement pas à la hauteur de toute de la publicité faite.  Sinon ça aurait sans doute pu être sympa....";"Nb de pts de vente de nourriture insuffisant, et mal organisés (aux hot dog par ex: pas assez de personnel, et personnel sympa mais apparemment peu expérimenté: bcp de pertes de temps): on attend beaucoup trop ; au café, j'ai renoncé après 20 minutes de queue, la plupart des clients potentiels idem, et je n'ai trouvé aucun distributeur de boissons en service. Des endroits très sales (bâtiment du Pégase Express). A la tombée de la nuit les panneaux indicateurs (pour attractions et services) ne sont pas lisibles car non éclairés, et l'appli n'a jamais fonctionné . Parking 5: on paye 20 € pour stationner dans un champ boueux; on doit emprunter un ""chemin"" boueux pour se rendre au parc; aucune indication (ni au sol ni panneaux) pour la sortie: les voitures tournaient... Ensemble pas sérieux!"
09/01/2024;05/01/2024;Avec des jeunes enfants; <br />;mon petit bémol , la qualité et propreté des toilettes. <br />Toilettes qui fait toilettes de camping et souvent sale
09/01/2024;03/01/2024;En couple;Pas de sourire dans le parc. Les employés sont tristes et ternes. Dommage;
09/01/2024;06/01/2024;Avec des jeunes enfants;Une nouvelle super expérience avec mes 2 bambins. <br />Le gros gros point noir est la rotation des bus. 2 bus seulement pour récupérer une file de personnes qui a du attendre 1h30 dans le froid avec des enfants en bas âge pour rejoindre le parc… Dommage car nous voudrions que ce moment dans le parc devienne une tradition annuelle avec mes enfants;Augmenter le nombre de bus en période de forte affluence
09/01/2024;05/01/2024;Avec des jeunes enfants;Toujours heureux de revenir au parc.;Améliorer l'accueil à l'entrée les jours d'affluence ( cf visite le 05/01) et peut être faire en sorte de pouvoir scanner ses PASS sans passer par le seul agent dédié. <br />
09/01/2024;06/01/2024;Avec des jeunes enfants;Gros problème au niveau d un restaurant de crêpes 1h30 pour 3 crêpes dans le froid horrible. <br />Problème d organisation du personnel qui discutait entre eux . insupportable;Gros problème au niveau d un restaurant de crêpes 1h30 pour 3 crêpes dans le froid horrible. <br />Problème d organisation du personnel qui discutait entre eux . insupportable
09/01/2024;06/01/2024;Avec des jeunes enfants;Je tenais à remercier les gens qui y travaillent une gentillesse énorme on ne m'a pas laissé yomber une roue crevé je suis handicapé et il pleuvait merci aux gars de la sécurité du coup de main.  Découverte du restaurant le cirque super bon et le choix énorme les serveurs et serveuses super sympa ;Super sympa les gens qui y travaillent et je reprend mon pass sans problème.  
09/01/2024;06/01/2024;Avec des jeunes enfants;Très beau parc de loisirs toute la famille a adoré ; <br />
09/01/2024;03/01/2024;Avec des ados;Parc très accueillant pour les petits et les grands en passant par les ados . Très très propre et personnel au top. Moment de détente à conseiller à tous ;
09/01/2024;06/01/2024;Avec des jeunes enfants;Excellent pour une journée en famille avec des enfants ;
09/01/2024;26/12/2023;Avec des jeunes enfants;Nous avons passé une très belle journée malgré le froid!;
09/01/2024;06/01/2024;Entre amis;Très déçue, je n’étais pas venu depuis un petit moment, arrivée à 10h30 le 6 janvier 2023, nous devions repartir à 20h à la fermeture et nous avons écourté à 18h30 tellement nous avons étés déçues , beaucoup trop de monde, nous n’avons pu faire que 4 attractions sur l’ensemble de la journée et même en essayant de persister pour tenter de  faire toutatis il y avait encore minimum 70 min de fil d’attente et franchement au bout d’un moment on préfère jeter l’éponge et partir, pour le prix du billet en + de manger à l’intérieur du parc. , décevant, il faudrait penser à un autre système pour mieux gérer le monde dans le parc…;Repenser vos fils d’attente soit par des créneaux où je sais pas où des pass créneau … 
09/01/2024;06/01/2024;Avec des ados;"Parc fait le 06/01/ pour les 20 ans de notre fils! Mes 2 enfants sont ravis des attractions avec sensations fortes , mais moi je suis  un peu déçu,je m'explique ; Première attraction après 1h 30 d'attente en.panne ....ont décide de le refaire vers 16h bim encore  en panne après 45 minutes d'attente !! Ensuite il n'y avait pas assez de kiosque ouvert, conséquence 1 file d'attente interminable pour un  simple café pour ce réchauffer ! Et enfin je pensais voir plus de personnage dans le parc mais ça ont y peu rien je suppose. Mon fils garde un excellent souvenir pour ces 20 ans , c'est le principal.  <br />J'espère pouvoir le refaire en juin (habitant du 24 , ancienne Picarde)";
09/01/2024;03/01/2024;Avec des ados;Parc sympa mais mauvaise fréquentation. Les gens doublent dans les fils d'attentes, mon sac a été ouvert alors que j'y veillais particulièrement, heureusement il n'y avait rien dedant... <br />Les attractions sont supers et très diversifiés mais l'attente n'est pas protégé, ni de soleil, ni de la pluie, ni des personnes malveillantes : près de deux heures à attendre sous la pluie pour nous...  <br />Ils devraient renforcer la sécurité avec des agents. <br />Le personnel du parc est très bien mais le personnel des stands alimentaires horrible : à 12h15, j'ai attendu 40min un panini alors qu'il n'y avait AUCUN client au stand, le serveur attendait son responsable pour faire le panini (j'avais juste payé). Au bout de 40min, il me dit qu'il fallait que j'amène mon sandwich si je ne pouvais pas attendre...;Renforcer l'autorité et la sécurité, je ne me suis pas du tout senti en sécurité dans ce parc. 
09/01/2024;03/01/2024;Avec des ados;Clairement, le Parc Astérix est un parc conçu pour la famille. Il comporte des attractions pour tous les âges, mais plaira surtout aux amateurs de sensations fortes !;En terme d'amabilité, l'attitude du personnel dans les attractions est à revoir. Un sourire n'est jamais obligatoire, mais cela donne une image du Parc nettement plus positive, ce qui peut donner envie au visiteur de revenir.
09/01/2024;03/01/2024;Entre amis;Super top;
09/01/2024;06/01/2024;Avec des ados;Super journée, très bien pour une famille avec des ados et pré-ados;Nous avons adoré le parc et les attractions, mais nous sommes un peu déçus par le manque de réactivité et de rapidité du personnel dans plusieurs stands pour se restaurer. Dommage la prochaine fois nous prendrons notre pique-nique 
09/01/2024;06/01/2024;Avec des jeunes enfants;Tout parfait! Nous sommes venus 2 fois en 2 mois et on a adoré, surtout mon fils de 6 ans!;
09/01/2024;06/01/2024;Avec des ados;Nous sommes allés en famille au Parc Astérix pour les sensations fortes. Pour ça, c'était bien, juste pour ça. Nous n'avons pu faire que 4 attractions pour environ 07h00 de files d'attentes, c'est du grand n'importe quoi, vive le business. Comment peut-on accepter autant de monde ? Nous n'avons pas pu profiter du parc. <br />Mais on pense bien sûr, aux plus aisés, qui auront la chance de pouvoir se payer des pass filomatic. Une fois de plus, vive le business.;Nous sommes allés en famille au Parc Astérix pour les sensations fortes. Pour ça, c'était bien, juste pour ça. Nous n'avons pu faire que 4 attractions pour environ 07h00 de files d'attentes, c'est du grand n'importe quoi, vive le business. Comment peut-on accepter autant de monde ? Nous n'avons pas pu profiter du parc. <br />Mais on pense bien sûr, aux plus aisés, qui auront la chance de pouvoir se payer des pass filomatic, une fois de plus, vive le business.
09/01/2024;06/01/2024;Entre amis;Nous sommes venus samedi l application n indiquait pas les bons temps d attente au final 2 h d’attente contre 60 min annonces sur l application pour Osiris;L’attente était beaucoup plus longue que lors de mes autres visites au parc d asterix au final nous avons pu faire très peu d’attractions 
09/01/2024;06/01/2024;Avec des jeunes enfants;Super séjour et accueil ;Délais d’attente trop longs au grande attraction 
09/01/2024;03/01/2024;Avec des ados;Ambiance conviviale malgré le monde et l'attente durant le passage des attractions. Très bonne idée d'avoir prolongé jusqu'à la fin des vacances scolaires d'hiver.;
09/01/2024;02/01/2024;Avec des ados;Nous avons apprécié le parc en cette période d'hiver. Chouette ambiance.;
09/01/2024;06/01/2024;Entre amis;Un superbe séjour ! ;
09/01/2024;03/01/2024;Avec des jeunes enfants;Excellent séjour, des attractions impressionnantes, des spectacles au top, on s'est régalés! ;
09/01/2024;06/01/2024;Avec des jeunes enfants;Un parc parfait pour les amateurs de sensations et de manèges de tout âge. <br />Le village des tout petits est parfaitement adapté, peu d'attente et des activités variées pour qu'ils s'initient aux sensations et à la magie du parc. <br />l'ouverture a 11H a entrainé une longue attente en nasse ce qui est dommage comme démarrage de journée. <br />Une jauge trop large qui entraine des attentes trop longues pour les grandes attractions et même des plus petites, avec des clients pass express qui passent en continu devant nous. <br />Même pour acheter une frite, il faut attendre 30 min... <br />Croiser des personnages reste enchanteur pour les petits, mais trop rare. <br />hormis ces quatre points, cela reste une belle expérience que je renouvellerai. <br />Merci le parc Asterix;
09/01/2024;06/01/2024;Entre amis;Ff;Tst
09/01/2024;06/01/2024;En couple;La réputation du parc n'est plus a faire pourtant, <br /> <br />Comment un stand de sandwich peut avoir tant de mal a fonctionné et se retrouver en rupture de stock a 13h30. Puis surtout ne pas informer les clients vu la queue au lieu de les laisser attendre 30 min pour rien. <br /> <br />Mis a part cela superbe journée;Revoir l'organisation des stands. <br />1 salariés par caisse qui se doit de prendre les commandes, les préparés, encaissé ça ne fonctionne pas. Pour faudrait 3 salariés pour 2 caisses, 4 pour 3 caisses ça permettrait d'être vraiment plus professionnel et réactif. Tout le monde était agacé par l'attente interminable et rythme ridicule a laquelle les commandes était prises
09/01/2024;06/01/2024;Entre amis;Trop d’affluence ;
09/01/2024;05/01/2024;Avec des ados;Très chouette attraction, tout est bien organisé ! Rien à redire !;
09/01/2024;03/01/2024;En couple;Gros problème sur la restauration plus de plats proposés au relai gaulois sous prétexte de fermeture du parc ainsi qu’une très longue attente à pizza caius avec des pizzas qui n’étaient pas cuites correctement. Peu de wagons dans tonnerre de zeus au vus de l’affluence ;
09/01/2024;06/01/2024;Entre amis; <br />;La propreté des toilettes laisse à désirer que ce soit dans le parc ou des les « restos ». <br />Certains membres du personnel ne sont pas très sympathiques.  <br />Attractions au top 
09/01/2024;06/01/2024;Entre amis;;Proposer un parcours en direct sur l'apllication pour avoir la possibilité de faire un maximum d'attraction pour les enfants, ou que les attractions a forte sensation (goudurix, toutagis,oziris)  <br />Unnparcours clients thematisé 
09/01/2024;06/01/2024;En couple;C'est toujours avec un grand plaisir que nous y venons,  même si je m'aperçois que nous sommes souvent très nombreux dans les files....par toutatix !!!;
09/01/2024;03/01/2024;Entre amis;Ce parc a tout pour me faire rêver mais alors que je vois le bitume au sol et l’état de décomposition avancée de certaines attractions comme Discobélix qui tombe ruinés, j’ai de la peine. La multiplication des intérimaires mal formés et qui ne savent rien n’aide pas à améliorer l’expérience… Je vois les efforts faits sur pleins de points mais  selon moi ça ne sert à rien d’ouvrir Toutatis qui est une merveille,  si c’est pour nous laisser embarquer dans du désastreux comme La Croisière d’Epidemaïs…  <br />J’aime profondément ce parc et j’ai envie de le voir briller, j’ai envie que les rails des coasters soient repeints, que les graffitis soient retirés et que des attractions ouvertes il y a moins de 10 ans soient entretenues avec plus de soin. Ça atteint un point où c’est intolérable…;J’espère vraiment qu’à la réouverture le 30 Mars: <br />- Discobelix aura retrouvé un peu de sa splendeur <br />- La file d’attente de Pégase Express aura subi un petit coup de frais  <br />- que les sols en goudron auront commencé à disparaître dans certaines zones (les plus choquantes, devant le Grand Splatsch et devant de restaurant du lac). <br />- on aura commencé à voir disparaître certaines attractions comme les petits avions à côté de la halte des chevaliers, ça fait trop centre commercial <br />- les rails des coasters auront et nettoyés et pour certains repeints. Un coaster sale, ça fait mauvais genre. Vous allez laisser vieillir Toutatis comme vous avez laissé vieillir Oziris? Ce serait criminel.  <br />- Que vous allez enfin limiter les intrusions visuelle vers vos coulisses depuis les attractions…
09/01/2024;06/01/2024;Avec des jeunes enfants;Voir remarques plus bas ;Bonjour, la demoiselle qui a pris ma commande au restaurant Aux Fastes De Rome était limite désagréable, elle ne répondait pas à mes questions,  et du coup s'est trompée sur la commande en me comptant 1 menu de plus. Il a fallut tout annuler et recommencer. Et lors de notre passage au Vol d'Icare, 1 personne de notre famille (nous étions 6) s'est vu refuser l'accès car il voulait faire l'attraction seul (l'autre personne seule n'a pas été débouté), après 1h d'attente alors qu'il était annoncé 20min d'attente. Une meilleure formation de certains salariés seraient un plus.
09/01/2024;06/01/2024;Avec des jeunes enfants;;Troisième ou quatrième fois que nous venonas au parc. C'est la plus mauvaise experience.  Trop temps d'attente plus d'heure par manege. Avec un enfant de 10 ans impossible d'attendre avec le froid.  Attractions  fermées, problèmes techniques  sur d'autres.  Ma fille est restée  coincé sur l'un. Bref Journée à oublier
09/01/2024;06/01/2024;Avec des jeunes enfants;tres bon parc avec des attraction pour tous , belle parade et superbe feu d artifice ;"le passage aux attractions avec passage prioritaire n est pas toujours respecte ,le filomatic paye pour le passage par vos clients est prioritaire ,sur certaines attraction comme le hourra par exemple plusieurs personnes sont passes avant moi car elles avait filomatic paye quand j ai fait la remarque on m a repondu patientez votre tour;"
09/01/2024;06/01/2024;Entre amis;J’aurais aimé qu’il y est plus d’options pour la restauration et+ de visibilité par rapport au temps d’attente pour les attractions voir limiter le nombre de visiteurs si possible <br />;
09/01/2024;06/01/2024;Avec des ados;Parc excellent pour les amateurs de sensation. <br />Séjournez à l'hôtel du arc c'est super vous accéderez avant l'ouverture aux grosses attractions !!!;
09/01/2024;06/01/2024;Avec des jeunes enfants;Le parc en lui même est bien mais le séjour à l'hôtel reste à améliorer !!;On a pu séjourné dans un de vos hôtels qui était la cité suspendu ce qui nous donner 30 min d'avance sur l'ouverture du parc mais malheureusement on ne peut pas en profiter comme on veut car certaines zone du parc était fermé. <br />Les 30 min permet de justement faire les attractions les plus prisés comme le tonnerre de Zeuz le discoobelix etc et malheureusement on peut pas avoir accès donc au final les 30 min servent pour les attractions destinés aux enfants.  <br />C'est dommage
